,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,character,voice-actor
0,Recess: School's Out,16-Feb-01,Comedy,G,C,,,
1,D2: The Mighty Ducks,25-Mar-94,Comedy,PG,B,,,
2,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Alameda Slim,Randy Quaid
3,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Audrey the Chicken,Estelle Harris
4,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Buck,Cuba Gooding Jr.
5,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Grace,Jennifer Tilly
6,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Jeb the Goat,Joe Flaherty
7,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Junior the Buffalo,Lance LeGault
8,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Larry the Duck,Marshall Efron
9,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Lucky Jack,Charles Haid
10,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Maggie,Roseanne Barr
11,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Mrs. Calloway,Judi Dench
12,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Ollie the Pig,Charlie Dell
13,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Pearl Gesner,Carole Cook
14,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Rico,Charles Dennis
15,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Rusty the Dog,G.W. Bailey
16,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Sam the Sheriff,Richard Riehle
17,Home on the Range,2-Apr-04,Comedy,PG,C,Will Finn,Wesley,Steve Buscemi
18,Young Black Stallion,25-Dec-03,Adventure,G,D,,,
19,What's Love Got to Do With It,9-Jun-93,Drama,R,B,,,
20,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Al the Alligator,Thurl Ravenscroft
21,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Aunt Sarah,Verna Felton
22,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Beaver,Stan Freberg
23,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Darling,Peggy Lee
24,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Jim Dear,Lee Millar
25,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Jock,Bill Thompson
26,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Lady,Barbara Luddy
27,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Peg,Peggy Lee
28,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Si & Am,Peggy Lee
29,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Tramp,Larry Roberts
30,Lady and the Tramp,22-Jun-55,Drama,G,S,Hamilton Luske,Trusty,Bill Baucom
31,Corky Romano,12-Oct-01,Comedy,PG-13,C,,,
32,The Waterboy,6-Nov-98,Comedy,PG-13,A,,,
33,Captain America: The Winter Soldier,4-Apr-14,Action,PG-13,A,,,
34,Pirates of the Caribbean: Dead Man’…,7-Jul-06,Adventure,PG-13,S,,,
35,Ladder 49,1-Oct-04,Action,PG-13,B,,,
36,Coyote Ugly,4-Aug-00,Drama,PG-13,B,,,
37,The Sixth Man,28-Mar-97,Comedy,PG-13,C,,,
38,Dick Tracy,15-Jun-90,Action,PG,A,,,
39,Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,B,,,
40,DuckTales: The Movie - Treasure of th…,3-Aug-90,Adventure,G,C,,,
41,Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,D,,,
42,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Achilles,None
43,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,The Archdeacon,David Ogden Stiers
44,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Captain Phoebus,Kevin Kline
45,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Clopin Trouillefou,Paul Kandel
46,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Djali,None
47,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Esmeralda,Demi Moore
48,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Hugo,Jason Alexander
49,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Judge Claude Frollo,Tony Jay
50,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Laverne,Mary Wickes
51,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Quasimodo,Tom Hulce
52,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,Gary Trousdale,Victor,Charles Kimbrough
53,Ernest Goes to Jail,6-Apr-90,Comedy,PG,C,,,
54,Ant-Man,17-Jul-15,Action,PG-13,B,,,
55,The Shaggy Dog,10-Mar-06,Comedy,PG,B,,,
56,The Life Aquatic with Steve Zissou,10-Dec-04,Comedy,R,C,,,
57,Bridge to Terabithia,16-Feb-07,Drama,PG,B,,,
58,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Armoire,Jo Anne Worley
59,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Babette,Mary Kay Bergman
60,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Baker,Alex Murphey
61,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Beast,Robby Benson
62,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Belle,Paige O'Hara
