movie_title,release_date,genre,MPAA_rating,director,character,voice-actor,revenue
Recess: School's Out,16-Feb-01,Comedy,G,Chuck Sheetz,NA,NA,54656124.0
D2: The Mighty Ducks,25-Mar-94,Comedy,PG,Sam Weisman,NA,NA,94226333.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Alameda Slim,Randy Quaid,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Audrey the Chicken,Estelle Harris,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Buck,Cuba Gooding Jr.,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Grace,Jennifer Tilly,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Jeb the Goat,Joe Flaherty,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Junior the Buffalo,Lance LeGault,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Larry the Duck,Marshall Efron,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Lucky Jack,Charles Haid,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Maggie,Roseanne Barr,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Mrs. Calloway,Judi Dench,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Ollie the Pig,Charlie Dell,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Pearl Gesner,Carole Cook,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Rico,Charles Dennis,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Rusty the Dog,G.W. Bailey,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Sam the Sheriff,Richard Riehle,67910166.0
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Wesley,Steve Buscemi,67910166.0
Young Black Stallion,25-Dec-03,Adventure,G,Simon Wincer,NA,NA,9254344.0
