movie_title,release_date,genre,MPAA_rating,revenue
Recess: School's Out,16-Feb-01,Comedy,G,"$54,656,124 "
D2: The Mighty Ducks,25-Mar-94,Comedy,PG,"$94,226,333 "
Home on the Range,2-Apr-04,Comedy,PG,"$67,910,166 "
Young Black Stallion,25-Dec-03,Adventure,G,"$9,254,344 "
What's Love Got to Do With It,9-Jun-93,Drama,R,"$79,618,610 "
Lady and the Tramp,22-Jun-55,Drama,G,"$1,236,035,515 "
Corky Romano,12-Oct-01,Comedy,PG-13,"$35,705,805 "
The Waterboy,6-Nov-98,Comedy,PG-13,"$288,691,833 "
Captain America: The Winter Soldier,4-Apr-14,Action,PG-13,"$268,013,076 "
Pirates of the Caribbean: Dead Man’…,7-Jul-06,Adventure,PG-13,"$544,817,142 "
Ladder 49,1-Oct-04,Action,PG-13,"$101,161,045 "
Coyote Ugly,4-Aug-00,Drama,PG-13,"$95,070,168 "
The Sixth Man,28-Mar-97,Comedy,PG-13,"$27,117,599 "
Dick Tracy,15-Jun-90,Action,PG,"$207,231,621 "
Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,"$116,965,668 "
DuckTales: The Movie - Treasure of th…,3-Aug-90,Adventure,G,"$36,107,823 "
Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,"$5,872,667 "
The Hunchback of Notre Dame,21-Jun-96,Adventure,G,"$190,988,799 "
Ernest Goes to Jail,6-Apr-90,Comedy,PG,"$49,999,822 "
Ant-Man,17-Jul-15,Action,PG-13,"$180,202,163 "
The Shaggy Dog,10-Mar-06,Comedy,PG,"$78,667,428 "
The Life Aquatic with Steve Zissou,10-Dec-04,Comedy,R,"$32,198,655 "
Bridge to Terabithia,16-Feb-07,Drama,PG,"$100,760,721 "
Beauty and the Beast,13-Nov-91,Musical,G,"$363,017,667 "
Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,"$9,857,435 "
A Bug's Life,20-Nov-98,Adventure,G,"$288,981,698 "
3 Men and a Little Lady,21-Nov-90,Comedy,PG,"$143,108,869 "
The Puppet Masters,21-Oct-94,Horror,R,"$17,727,017 "
Signs,2-Aug-02,Thriller/Suspense,PG-13,"$330,754,439 "
Dead Presidents,4-Oct-95,Drama,R,"$46,741,467 "
"McFarland, USA",20-Feb-15,Drama,PG,"$44,480,275 "
George Of The Jungle,16-Jul-97,Comedy,PG,"$193,326,632 "
Bound by Honor,16-Apr-93,,R,"$9,156,084 "
The Avengers,4-May-12,Action,PG-13,"$660,081,224 "
Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,"$63,354,375 "
Earth,22-Apr-09,Documentary,G,"$35,981,010 "
Hello Again,6-Nov-87,Comedy,,"$44,024,529 "
When a Man Loves a Woman,29-Apr-94,Drama,R,"$103,354,194 "
Unbreakable,22-Nov-00,Thriller/Suspense,PG-13,"$148,208,901 "
3 Men and a Baby,25-Nov-87,Comedy,PG,"$353,334,607 "
X Games 3D: The Movie,21-Aug-09,Documentary,PG,"$1,563,976 "
Cars 2,24-Jun-11,Adventure,G,"$203,522,177 "
The Princess Diaries 2: Royal Engagement,11-Aug-04,Romantic Comedy,G,"$129,164,207 "
The Jungle Book 2,14-Feb-03,Adventure,G,"$66,966,883 "
Aspen Extreme,22-Jan-93,Romantic Comedy,PG-13,"$15,970,955 "
Noises Off...,20-Mar-92,Comedy,PG-13,"$4,631,720 "
He Got Game,1-May-98,Drama,R,"$38,766,948 "
Bringing Down the House,7-Mar-03,Comedy,PG-13,"$185,481,530 "
Bon Voyage!,17-May-62,Comedy,Not Rated,"$109,581,646 "
Doctor Strange,4-Nov-16,Adventure,PG-13,"$232,532,923 "
Flubber,26-Nov-97,Comedy,PG,"$170,406,423 "
Roving Mars,27-Jan-06,Documentary,G,"$12,948,025 "
Captain Ron,18-Sep-92,Comedy,PG-13,"$45,741,576 "
Shadow Conspiracy,31-Jan-97,Thriller/Suspense,R,"$3,957,025 "
Good Morning Vietnam,23-Dec-87,Comedy,R,"$254,414,837 "
Babes in Toyland,14-Dec-61,Musical,G,"$124,841,160 "
An Innocent Man,6-Oct-89,Drama,R,"$40,983,414 "
Summer of Sam,2-Jul-99,Drama,R,"$32,007,656 "
The Good Dinosaur,25-Nov-15,Adventure,PG,"$123,087,120 "
Angels in the Outfield,15-Jul-94,Comedy,PG,"$103,798,152 "
Tough Guys,3-Oct-86,Comedy,,"$48,758,184 "
Something Wicked This Way Comes,29-Apr-83,Horror,,"$15,136,765 "
The Rocketeer,21-Jun-91,Action,PG,"$93,256,673 "
Stakeout,5-Aug-87,Comedy,R,"$141,592,160 "
National Treasure 2: Book of Secrets,21-Dec-07,Adventure,PG,"$267,003,525 "
Terminal Velocity,23-Sep-94,Action,PG-13,"$34,048,315 "
Apocalypto,8-Dec-06,Adventure,R,"$64,959,548 "
Invincible,25-Aug-06,Drama,PG,"$74,398,864 "
25th Hour,19-Dec-02,Drama,R,"$18,325,463 "
Mighty Joe Young,25-Dec-98,Adventure,PG,"$87,906,042 "
Deceived,27-Sep-91,Thriller/Suspense,PG-13,"$57,544,453 "
Never Cry Wolf,7-Oct-83,Drama,,"$70,669,955 "
G-Force,24-Jul-09,Adventure,PG,"$134,246,932 "
Feast of July,13-Oct-95,Drama,R,"$568,342 "
The Lookout,30-Mar-07,Drama,R,"$5,637,048 "
Cool Runnings,1-Oct-93,Comedy,PG,"$140,392,731 "
Alice Through the Looking Glass,27-May-16,Adventure,PG,"$77,042,381 "
The Devil and Max Devlin,1-Jan-81,,,"$48,517,980 "
The Chronicles of Narnia: Prince Caspian,16-May-08,Adventure,PG,"$166,277,038 "
The Insider,5-Nov-99,Drama,R,"$47,794,214 "
Camp Nowhere,26-Aug-94,Comedy,PG,"$21,576,332 "
The Rock,7-Jun-96,Action,R,"$255,702,705 "
Green Card,25-Dec-90,Romantic Comedy,PG-13,"$59,679,131 "
Real Steel,7-Oct-11,Action,PG-13,"$90,848,019 "
A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,"$25,981,285 "
The Last Flight of Noah’s Ark,25-Jun-80,,,"$34,472,116 "
African Cats,22-Apr-11,Documentary,G,"$16,401,551 "
Toy Story 3D Double Feature,2-Oct-09,Adventure,G,"$34,509,545 "
Into the Woods,25-Dec-14,Musical,PG,"$130,894,237 "
Finding Nemo,30-May-03,Adventure,G,"$518,148,559 "
The Good Mother,4-Nov-88,Drama,,"$9,772,655 "
The Hundred-Foot Journey,8-Aug-14,Romantic Comedy,PG,"$55,961,409 "
Pearl Harbor,25-May-01,Action,PG-13,"$295,705,112 "
Pirates of the Caribbean: At World’…,24-May-07,Adventure,PG-13,"$379,129,960 "
Color of Night,19-Aug-94,Thriller/Suspense,R,"$40,804,816 "
Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,"$53,693,680 "
Cheetah,18-Aug-89,Adventure,,"$16,653,473 "
Jack,9-Aug-96,Drama,PG-13,"$111,792,852 "
Monsters University,21-Jun-13,Adventure,G,"$278,395,641 "
The Fifth Estate,18-Oct-13,Drama,R,"$3,374,251 "
Before and After,23-Feb-96,Drama,PG-13,"$16,482,589 "
Moonlight Mile,27-Sep-02,Drama,PG-13,"$9,909,094 "
A Stranger Among Us,17-Jul-92,Drama,PG-13,"$24,950,752 "
The Lizzie McGuire Movie,2-May-03,Comedy,PG,"$59,743,191 "
Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,"$13,608,633 "
crazy/beautiful,29-Jun-01,Drama,PG-13,"$25,214,223 "
Adventures in Babysitting,3-Jul-87,Comedy,,"$72,853,569 "
The Game Plan,22-Sep-07,Comedy,PG,"$111,010,758 "
Splash,9-Mar-84,Comedy,PG,"$157,057,661 "
Who Framed Roger Rabbit?,22-Jun-88,Comedy,PG,"$316,250,084 "
The Light Between Oceans,2-Sep-16,Drama,PG-13,"$12,545,979 "
The Guardian,29-Sep-06,Action,PG-13,"$70,801,353 "
The Sword in the Stone,25-Dec-63,Adventure,,"$153,870,834 "
Mr. Holland's Opus,29-Dec-95,Drama,PG,"$157,508,868 "
The Rescuers Down Under,16-Nov-90,Adventure,G,"$55,796,728 "
The Preacher's Wife,13-Dec-96,Drama,PG,"$91,076,877 "
Sarafina!,18-Sep-92,Drama,PG-13,"$14,841,352 "
Trenchcoat,11-Mar-83,Comedy,,"$11,519,089 "
Confessions of a Teenage Drama Queen,20-Feb-04,Comedy,PG,"$39,816,568 "
Around the World in 80 Days,16-Jun-04,Adventure,PG,"$32,585,356 "
Blaze,13-Dec-89,Drama,R,"$39,884,640 "
Toy Story,22-Nov-95,Adventure,G,"$370,409,631 "
Prince of Persia: Sands of Time,28-May-10,Action,PG-13,"$96,971,361 "
Eddie,31-May-96,Comedy,PG-13,"$59,828,966 "
White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,"$18,083,994 "
White Squall,2-Feb-96,Adventure,PG-13,"$19,509,726 "
